arch,case,solver,step,t,dt,ch_glm,max_cf_x,max_cf_y,max_speed,max_rho,min_rho,max_p,min_p,max_abs_Bx,max_abs_By,max_abs_Bz,max_abs_psi,divB_L1,divB_max,n_floor_triggered
cpu,rotor,hll,180,5.6299651130e-02,2.6983350430e-04,3.7059890045e+00,2.5264680619e+00,2.7065898502e+00,3.7059890045e+00,1.2958598160e+01,8.9854727399e-01,2.5658511181e+00,3.0803287238e-01,2.8462689734e+00,1.5112046425e+00,0.0000000000e+00,2.2357582911e-01,1.0454149371e+04,1.0100868047e+01,0
cpu,rotor,hll,185,5.7648029552e-02,2.6951859742e-04,3.7103191007e+00,2.5410152753e+00,2.7191211470e+00,3.7103191007e+00,1.2924884041e+01,9.0038693087e-01,2.5597027463e+00,2.9698040365e-01,2.8426229828e+00,1.5045645840e+00,0.0000000000e+00,2.3112024673e-01,1.0496051424e+04,9.3777249227e+00,0
cpu,rotor,hll,190,5.8994956081e-02,2.6912050580e-04,3.7158075229e+00,2.5527124692e+00,2.7314233880e+00,3.7158075229e+00,1.2926328435e+01,9.0222137880e-01,2.5518388039e+00,2.8635954119e-01,2.8394457249e+00,1.4975572057e+00,0.0000000000e+00,2.3135341680e-01,1.0597693269e+04,9.1758282163e+00,0
cpu,rotor,hll,195,6.0340065299e-02,2.6894965758e-04,3.7181679612e+00,2.5652291139e+00,2.7434177533e+00,3.7181679612e+00,1.2908577696e+01,9.0403942019e-01,2.5426393626e+00,2.7566388662e-01,2.8358784225e+00,1.4903162253e+00,0.0000000000e+00,2.2552978892e-01,1.0688582681e+04,9.1570636995e+00,0
cpu,rotor,hll,200,6.1684479218e-02,2.6876607381e-04,3.7207076987e+00,2.5772907848e+00,2.7544411899e+00,3.7207076987e+00,1.2873224731e+01,9.0573004544e-01,2.5327594410e+00,2.6485981430e-01,2.8316624016e+00,1.4825617629e+00,0.0000000000e+00,2.3842761238e-01,1.0737650120e+04,8.8997849869e+00,0
cpu,rotor,hll,205,6.3028251802e-02,2.6878082332e-04,3.7205035227e+00,2.5875852580e+00,2.7661935549e+00,3.7205035227e+00,1.2866948024e+01,9.0743021308e-01,2.5221539689e+00,2.5446069301e-01,2.8271760755e+00,1.4752456999e+00,0.0000000000e+00,2.2949314644e-01,1.0779162042e+04,8.5092477633e+00,0
cpu,rotor,hll,210,6.4372097489e-02,2.6870505914e-04,3.7215525573e+00,2.5988450239e+00,2.7765743300e+00,3.7215525573e+00,1.2827954222e+01,9.0898627363e-01,2.5106562512e+00,2.4532971991e-01,2.8222914328e+00,1.4674736472e+00,0.0000000000e+00,2.3679634937e-01,1.0831669794e+04,8.3260425203e+00,0
cpu,rotor,hll,215,6.5715694474e-02,2.6878200537e-04,3.7204871607e+00,2.6091215069e+00,2.7864060212e+00,3.7204871607e+00,1.2804777030e+01,9.1052673270e-01,2.4982110253e+00,2.3635238278e-01,2.8169420257e+00,1.4593578315e+00,0.0000000000e+00,2.3768877485e-01,1.0838015406e+04,8.0732639430e+00,0
cpu,rotor,hll,220,6.7059806458e-02,2.6884299340e-04,3.7196431543e+00,2.6183830736e+00,2.7969401239e+00,3.7196431543e+00,1.2778392330e+01,9.1198630571e-01,2.4849878560e+00,2.2815960251e-01,2.8105526357e+00,1.4510646162e+00,0.0000000000e+00,2.3760197164e-01,1.0895603747e+04,8.2798400824e+00,0
cpu,rotor,hll,225,6.8404331187e-02,2.6902844943e-04,3.7170790008e+00,2.6280348000e+00,2.8059171430e+00,3.7170790008e+00,1.2734355302e+01,9.1336111011e-01,2.4733820717e+00,2.2029827669e-01,2.8035292978e+00,1.4425720807e+00,0.0000000000e+00,2.5081668294e-01,1.0897616515e+04,8.2563770579e+00,0
