arch,case,solver,step,t,dt,ch_glm,max_cf_x,max_cf_y,max_speed,max_rho,min_rho,max_p,min_p,max_abs_Bx,max_abs_By,max_abs_Bz,max_abs_psi,divB_L1,divB_max,n_floor_triggered
cpu,orszag_tang,hll,140,7.6808998664e-01,5.3028557244e-03,2.4684754914e+00,1.6063774823e+00,1.6021472356e+00,2.4684754914e+00,7.1168681587e+00,1.6547062953e+00,8.2591071906e+00,7.0165560300e-01,1.8864941359e+00,1.9349259320e+00,0.0000000000e+00,2.4909099443e-01,6.6308684543e+02,5.8643868857e-01,0
cpu,orszag_tang,hll,145,7.9463735221e-01,5.3202931957e-03,2.4603849653e+00,1.6295340589e+00,1.6298654975e+00,2.4603849653e+00,7.0672642572e+00,1.6144498513e+00,8.1779120473e+00,6.7335343312e-01,1.9420818139e+00,1.9718280449e+00,0.0000000000e+00,2.5169180850e-01,7.3256202343e+02,5.6702533894e-01,0
cpu,orszag_tang,hll,150,8.2127578063e-01,5.3391632311e-03,2.4516893047e+00,1.6478110196e+00,1.6526691787e+00,2.4516893047e+00,7.0082863865e+00,1.5749655240e+00,8.0772953657e+00,6.4608575125e-01,1.9912531522e+00,1.9982837714e+00,0.0000000000e+00,2.5575719975e-01,8.0358514912e+02,5.5903628205e-01,0
cpu,orszag_tang,hll,155,8.4801371188e-01,5.3603818095e-03,2.4419845181e+00,1.6630345344e+00,1.6716682166e+00,2.4419845181e+00,6.9470179299e+00,1.5362611827e+00,7.9715439587e+00,6.1975846092e-01,2.0323087053e+00,2.0178687587e+00,0.0000000000e+00,2.5529239701e-01,8.7559038385e+02,5.3107457309e-01,0
cpu,orszag_tang,hll,160,8.7486134993e-01,5.3838712727e-03,2.4313303062e+00,1.6747018135e+00,1.6875250410e+00,2.4313303062e+00,6.8858029377e+00,1.4982816350e+00,7.8649859522e+00,5.9433060631e-01,2.0669901449e+00,2.0274962609e+00,0.0000000000e+00,2.5494885276e-01,9.4464410801e+02,5.6506505634e-01,0
cpu,orszag_tang,hll,165,9.0183140122e-01,5.4092806878e-03,2.4199094381e+00,1.6835715357e+00,1.7008113884e+00,2.4199094381e+00,6.8263109234e+00,1.4610096238e+00,7.7606609507e+00,5.6986477396e-01,2.0963183495e+00,2.0305153713e+00,0.0000000000e+00,2.5160415390e-01,1.0040723366e+03,6.2003482616e-01,0
cpu,orszag_tang,hll,170,9.2893270862e-01,5.4374358642e-03,2.4073790877e+00,1.6895268694e+00,1.7108011461e+00,2.4073790877e+00,6.7704676560e+00,1.4244885991e+00,7.6622312087e+00,5.4627460429e-01,2.1206779615e+00,2.0268850233e+00,0.0000000000e+00,2.4933849133e-01,1.0633591514e+03,6.7543351062e-01,0
cpu,orszag_tang,hll,175,9.5605365552e-01,5.3948502524e-03,2.4263823420e+00,1.6937265599e+00,1.7187375377e+00,2.4263823420e+00,6.7194415568e+00,1.3887633948e+00,7.5719670420e+00,5.2357070808e-01,2.1398512989e+00,2.0191138882e+00,0.0000000000e+00,2.4561929194e-01,1.1235073401e+03,7.3253376051e-01,0
cpu,orszag_tang,hll,180,9.8293460625e-01,5.3488601507e-03,2.4472446505e+00,1.6968456799e+00,1.7256804420e+00,2.4472446505e+00,6.6750355429e+00,1.3540633894e+00,7.4933276449e+00,5.0193266506e-01,2.1559051917e+00,2.0082744720e+00,0.0000000000e+00,2.4544140141e-01,1.1859488908e+03,8.9404235040e-01,0
cpu,orszag_tang,hll,185,1.0095997524e+00,5.3098284150e-03,2.4652339712e+00,1.6990473930e+00,1.7316795869e+00,2.4652339712e+00,6.6408944104e+00,1.3205092266e+00,7.4332730792e+00,4.8133444816e-01,2.1700084854e+00,1.9950178396e+00,0.0000000000e+00,2.4514731502e-01,1.2460810902e+03,1.1297815513e+00,0
cpu,orszag_tang,hll,190,1.0360773308e+00,5.2753550241e-03,2.4813437826e+00,1.7006609908e+00,1.7367552561e+00,2.4813437826e+00,6.8100962517e+00,1.2878348772e+00,7.6559779941e+00,4.6164470390e-01,2.1818543685e+00,1.9798877294e+00,0.0000000000e+00,2.4515753339e-01,1.3092692804e+03,1.3711423432e+00,0
cpu,orszag_tang,hll,195,1.0623913691e+00,5.2452647705e-03,2.4955783860e+00,1.7015667083e+00,1.7411061515e+00,2.4955783860e+00,7.0599404535e+00,1.2562458042e+00,8.1621284381e+00,4.4292853572e-01,2.1917429332e+00,1.9640803167e+00,0.0000000000e+00,2.4476651257e-01,1.3745513066e+03,1.4954956618e+00,0
cpu,orszag_tang,hll,200,1.0885636213e+00,5.2190045041e-03,2.5081352928e+00,1.7019066098e+00,1.7450840785e+00,2.5081352928e+00,7.2529011686e+00,1.2254909169e+00,8.5669809336e+00,4.2500769068e-01,2.2000397881e+00,1.9474279054e+00,0.0000000000e+00,2.4426204639e-01,1.4426226482e+03,1.5238562762e+00,0
cpu,orszag_tang,hll,205,1.1146132511e+00,5.1967509024e-03,2.5188756659e+00,1.7020863868e+00,1.7486444036e+00,2.5188756659e+00,7.3856581531e+00,1.1957463782e+00,8.8551721659e+00,4.0795749927e-01,2.2079157773e+00,1.9304618944e+00,0.0000000000e+00,2.4432063714e-01,1.5097772720e+03,1.6174697843e+00,0
cpu,orszag_tang,hll,210,1.1405579343e+00,5.1778760890e-03,2.5280576756e+00,1.7022813062e+00,1.7519985372e+00,2.5280576756e+00,7.4572806685e+00,1.1668325187e+00,9.0201897509e+00,3.9167545918e-01,2.2149474944e+00,1.9139206223e+00,0.0000000000e+00,2.4468423308e-01,1.5737128034e+03,1.6699978421e+00,0
cpu,orszag_tang,hll,215,1.1664106077e+00,5.1595473941e-03,2.5370383079e+00,1.7025013641e+00,1.7552635719e+00,2.5370383079e+00,7.4800931909e+00,1.1388755641e+00,9.0839338251e+00,3.7617193400e-01,2.2222052870e+00,1.8979459011e+00,0.0000000000e+00,2.4428550921e-01,1.6355532451e+03,1.7021384989e+00,0
cpu,orszag_tang,hll,220,1.1921684758e+00,5.1391734441e-03,2.5470962466e+00,1.7027703607e+00,1.7585343945e+00,2.5470962466e+00,7.4851872975e+00,1.1117640211e+00,9.0798406696e+00,3.6140666030e-01,2.2292541356e+00,1.8827671293e+00,0.0000000000e+00,2.4331185697e-01,1.6912128432e+03,1.6972039623e+00,0
cpu,orszag_tang,hll,225,1.2178245206e+00,5.1197517532e-03,2.5567586127e+00,1.7030948217e+00,1.7618233246e+00,2.5567586127e+00,7.4659856143e+00,1.0856000176e+00,9.0071140680e+00,3.4735317032e-01,2.2360369047e+00,1.8685448528e+00,0.0000000000e+00,2.4144449567e-01,1.7369332202e+03,1.6517972466e+00,0
