arch,case,solver,step,t,dt,ch_glm,max_cf_x,max_cf_y,max_speed,max_rho,min_rho,max_p,min_p,max_abs_Bx,max_abs_By,max_abs_Bz,max_abs_psi,divB_L1,divB_max,n_floor_triggered
cpu,orszag_tang,hllc,135,7.4116802059e-01,5.2830889444e-03,2.4777113404e+00,1.6665582839e+00,1.5925280179e+00,2.4777113404e+00,7.3672240778e+00,1.6947209154e+00,8.4799659256e+00,7.2981878086e-01,1.9262977707e+00,2.2614237591e+00,0.0000000000e+00,2.9306569716e-01,1.2421452131e+03,3.7957291552e+00,0
cpu,orszag_tang,hllc,140,7.6760851014e-01,5.2967127080e-03,2.4713383775e+00,1.8545966402e+00,1.7479666163e+00,2.4713383775e+00,7.3378553249e+00,1.6538700157e+00,8.4216191702e+00,7.0064881298e-01,2.1209656407e+00,2.7713333886e+00,0.0000000000e+00,4.3292189224e-01,2.0810894709e+03,9.0094590508e+00,0
cpu,orszag_tang,hllc,145,7.9110587939e-01,3.7756505011e-03,3.4669441427e+00,2.2056304856e+00,2.2035589425e+00,3.4669441427e+00,7.3012935219e+00,1.6183847394e+00,8.3494800147e+00,-5.9374930833e-01,2.3248507395e+00,3.8097100807e+00,0.0000000000e+00,1.2236380303e+00,3.6608504269e+03,1.9910825566e+01,134
cpu,orszag_tang,hllc,150,8.1048836693e-01,3.5833363836e-03,3.6530116039e+00,2.3297726967e+00,2.3288929536e+00,3.6530116039e+00,7.2697512707e+00,1.5896826548e+00,8.2874583233e+00,-5.9002079896e-01,2.4949122377e+00,3.9321893827e+00,0.0000000000e+00,1.5018262697e+00,4.5470681516e+03,1.8839902743e+01,432
cpu,orszag_tang,hllc,155,8.2854848233e-01,3.0687233556e-03,4.2656075094e+00,2.7153345778e+00,2.6934841329e+00,4.2656075094e+00,7.2478706680e+00,1.5633962154e+00,8.2440899086e+00,-8.6042177226e-01,2.4891806776e+00,3.9294047185e+00,0.0000000000e+00,1.6933737306e+00,5.1664783844e+03,2.0437057336e+01,620
cpu,orszag_tang,hllc,160,8.4402677026e-01,3.3826995860e-03,3.8696813173e+00,2.6483204043e+00,2.5217309745e+00,3.8696813173e+00,8.4681151936e+00,1.5372291592e+00,8.1737927549e+00,-1.3030595667e+00,2.5355903687e+00,3.9925523831e+00,0.0000000000e+00,2.3502340327e+00,5.5926259669e+03,1.9326438698e+01,708
cpu,orszag_tang,hllc,165,8.5734313896e-01,2.2012009528e-03,5.9467398346e+00,3.7813973368e+00,3.7454378095e+00,5.9467398346e+00,9.2625808924e+00,1.2454614401e+00,8.0760684318e+00,-2.5681589661e+00,2.5563018435e+00,3.9918777667e+00,0.0000000000e+00,2.7102089913e+00,6.0417718450e+03,1.9329664699e+01,754
cpu,orszag_tang,hllc,170,8.6792181521e-01,2.0590516043e-03,6.3572808777e+00,4.3625082211e+00,4.2519813232e+00,6.3572808777e+00,1.0060700498e+01,5.7324511318e-01,7.9760571945e+00,-5.1288464689e+00,2.5791271440e+00,4.1236426894e+00,0.0000000000e+00,3.2443163206e+00,6.4109064154e+03,2.0380991531e+01,858
cpu,orszag_tang,hllc,175,8.7706045290e-01,7.3918159829e-05,1.7708732766e+02,1.2783371958e+02,1.2787089642e+02,1.7708732766e+02,1.0164541676e+01,-1.5299084750e+00,6.8586502453e+04,-7.5165208973e+04,1.5993646259e+01,9.3690486695e+00,0.0000000000e+00,7.3131344005e+01,1.0659702853e+04,3.9828071680e+02,958
cpu,orszag_tang,hllc,180,8.7741792271e-01,2.3107282961e-05,5.6648673978e+02,2.0589260929e+02,2.0584714499e+02,5.6648673978e+02,1.1327270765e+01,-2.0583707642e+00,1.0750133160e+05,-1.0393560621e+05,7.4620218237e+00,8.6481153280e+00,0.0000000000e+00,4.0599538526e+02,8.6623697134e+03,7.7017411370e+01,718
cpu,orszag_tang,hllc,185,8.7753799175e-01,8.0592548799e-07,1.6242158345e+04,8.5940674706e+03,8.5940732249e+03,1.6242158345e+04,1.5538828830e+01,-2.3913819064e+00,2.7754557228e+07,-2.7330160561e+07,8.5775144244e+00,8.1345140295e+00,0.0000000000e+00,6.4869603638e+03,9.9553901245e+03,1.6801990204e+02,660
cpu,orszag_tang,hllc,190,8.7754193152e-01,5.1060630139e-07,2.5636129743e+04,1.6629117945e+04,1.6629115548e+04,2.5636129743e+04,1.5635464725e+01,-2.3993442110e+00,2.4096623730e+07,-1.8024835469e+07,4.5408649711e+00,5.3951928007e+00,0.0000000000e+00,1.4969901890e+04,7.2724169633e+03,3.2448395668e+01,648
# exit_summary: final_step=194,final_t=8.7754761484e-01,t_end_target=6.2831853072e+00,exit_reason=dt_floor_breach
