arch,case,solver,step,t,dt,ch_glm,max_cf_x,max_cf_y,max_speed,max_rho,min_rho,max_p,min_p,max_abs_Bx,max_abs_By,max_abs_Bz,max_abs_psi,divB_L1,divB_max,n_floor_triggered
gpu,rotor,hllc,165,2.4119818721e-02,7.3533380578e-05,1.3599265968e+01,1.2842086170e+01,1.2762148768e+01,1.3599265968e+01,2.0774550247e+01,5.4355143865e-02,5.0437905917e+00,5.9296587938e-05,3.6045035802e+00,3.0925269389e+00,0.0000000000e+00,1.3219766847e+01,5.2560522327e+05,5.1923322247e+02,2074
gpu,rotor,hllc,170,2.4493982576e-02,7.8620880019e-05,1.2719267449e+01,1.2364288018e+01,1.2243198696e+01,1.2719267449e+01,2.1135603437e+01,5.5238525467e-02,6.3570195940e+00,7.3955170252e-05,3.6845185564e+00,3.0885353232e+00,0.0000000000e+00,1.2320050139e+01,5.4011785638e+05,4.9652675544e+02,2200
gpu,rotor,hllc,175,2.4910200515e-02,7.9649708636e-05,1.2554973736e+01,1.0839404004e+01,1.0715046411e+01,1.2554973736e+01,2.1330652846e+01,6.5448836355e-02,7.2295997831e+00,5.7581053315e-05,3.6612681546e+00,3.1177007791e+00,0.0000000000e+00,1.0710583457e+01,5.6317973323e+05,4.8285353933e+02,2280
gpu,rotor,hllc,180,2.5318720622e-02,7.6747950759e-05,1.3029663856e+01,9.3435664216e+00,8.9607815543e+00,1.3029663856e+01,2.1596740415e+01,4.9708989933e-02,7.3198912463e+00,5.8674215687e-06,3.5966576430e+00,3.1455332561e+00,0.0000000000e+00,1.1863027610e+01,5.7833769777e+05,5.1038281333e+02,2312
gpu,rotor,hllc,185,2.5666514243e-02,5.7754040390e-05,1.7314805912e+01,1.0062173686e+01,9.8659787905e+00,1.7314805912e+01,2.2344384869e+01,4.7745192053e-02,7.2378039534e+00,8.2164264258e-05,3.4835726495e+00,3.1141399651e+00,0.0000000000e+00,1.3821086328e+01,5.8135140353e+05,4.7530515926e+02,2134
gpu,rotor,hllc,190,2.5977350566e-02,7.0682784354e-05,1.4147716578e+01,1.0036621648e+01,9.6800650255e+00,1.4147716578e+01,2.3089366324e+01,4.4167470539e-02,7.0197793242e+00,1.1272444411e-05,3.4921419704e+00,3.0604749813e+00,0.0000000000e+00,1.3404302449e+01,5.7778023938e+05,5.0460051817e+02,2444
gpu,rotor,hllc,195,2.6360527313e-02,7.8735106956e-05,1.2700814651e+01,1.1087166761e+01,9.8759391516e+00,1.2700814651e+01,2.4062439175e+01,3.6410182032e-02,6.5583234956e+00,1.7634907206e-06,3.5307688254e+00,3.0395320162e+00,0.0000000000e+00,1.2035054047e+01,6.0893799004e+05,4.9711319340e+02,2540
gpu,rotor,hllc,200,2.6763406280e-02,7.9047811131e-05,1.2650571669e+01,1.1140273410e+01,1.0869555527e+01,1.2650571669e+01,2.5093725560e+01,2.6711653061e-02,5.7521958096e+00,1.7634907206e-06,3.5469264084e+00,3.2513001308e+00,0.0000000000e+00,1.3200414674e+01,6.3434652392e+05,7.0207256527e+02,2710
gpu,rotor,hllc,205,2.7115376576e-02,5.6226252762e-05,1.7785286248e+01,1.2561854660e+01,1.2489798268e+01,1.7785286248e+01,2.6202776369e+01,2.0137487797e-02,6.0446434104e+00,1.7634907206e-06,3.4450731387e+00,3.0643764926e+00,0.0000000000e+00,2.1667326345e+01,6.4449762831e+05,5.2666338722e+02,2672
gpu,rotor,hllc,210,2.7387176434e-02,5.5117462997e-05,1.8143070193e+01,1.3135594702e+01,1.2005575088e+01,1.8143070193e+01,2.6937104981e+01,2.1738560101e-02,6.3665696365e+00,1.7634907206e-06,3.4360593663e+00,3.0481875292e+00,0.0000000000e+00,2.4174462203e+01,6.2737690301e+05,6.1799033458e+02,2808
gpu,rotor,hllc,215,2.7668780015e-02,5.9424582622e-05,1.6828052565e+01,1.3179508632e+01,1.1516999284e+01,1.6828052565e+01,2.7584984056e+01,2.4615835702e-02,6.6323502013e+00,1.7634907206e-06,3.5865360543e+00,3.0385200004e+00,0.0000000000e+00,1.6741626738e+01,6.3938310814e+05,4.6701806432e+02,2944
gpu,rotor,hllc,220,2.7970096290e-02,6.0898870103e-05,1.6420665906e+01,1.4090400341e+01,1.1837687889e+01,1.6420665906e+01,2.8135562148e+01,2.3153717179e-02,6.8715941108e+00,6.9485624690e-06,3.5098594513e+00,3.0158682743e+00,0.0000000000e+00,1.3944165945e+01,6.6790866582e+05,5.1837802794e+02,3271
gpu,rotor,hllc,225,2.8272581837e-02,5.8110620166e-05,1.7208558387e+01,1.5015284336e+01,1.3767263663e+01,1.7208558387e+01,2.8530256565e+01,1.5674212373e-02,7.0200313704e+00,1.1513742404e-05,3.4984425050e+00,3.0981519844e+00,0.0000000000e+00,1.7015374659e+01,6.8256692282e+05,5.3454566141e+02,3241
gpu,rotor,hllc,230,2.8551457403e-02,4.9848875418e-05,2.0060633096e+01,1.5633313189e+01,1.4252252391e+01,2.0060633096e+01,2.8761793192e+01,1.3076171352e-02,7.0942069256e+00,5.9709080819e-06,3.4945405307e+00,3.1387917186e+00,0.0000000000e+00,1.6452647807e+01,6.8775134372e+05,4.8941587285e+02,3255
gpu,rotor,hllc,235,2.8790695318e-02,4.6262810649e-05,2.1615634372e+01,1.3731180300e+01,1.2799636560e+01,2.1615634372e+01,2.8871059444e+01,1.7083306802e-02,7.1486841081e+00,5.9709080819e-06,3.5278160369e+00,3.2077976239e+00,0.0000000000e+00,1.8097076857e+01,6.8396473884e+05,4.2758716952e+02,3363
gpu,rotor,hllc,240,2.9031416014e-02,5.0918704540e-05,1.9639148502e+01,1.2606385983e+01,1.2436190194e+01,1.9639148502e+01,2.8898306816e+01,2.1315120040e-02,7.1421459103e+00,5.9709080819e-06,3.5705251526e+00,3.2307322423e+00,0.0000000000e+00,1.7085683692e+01,6.8963534454e+05,3.8559856005e+02,3550
gpu,rotor,hllc,245,2.9299066089e-02,5.7483426157e-05,1.7396318676e+01,1.2305827231e+01,1.2147978422e+01,1.7396318676e+01,2.9605509244e+01,2.0823323657e-02,7.2485902421e+00,8.2977297211e-07,3.5997845289e+00,3.3034572845e+00,0.0000000000e+00,1.5766612441e+01,7.1288090414e+05,4.6850922573e+02,3648
gpu,rotor,hllc,250,2.9605963312e-02,6.8400970449e-05,1.4619675619e+01,1.0320563230e+01,1.0088296146e+01,1.4619675619e+01,3.0497280755e+01,3.0085691219e-02,7.7645237001e+00,2.4461000626e-06,3.6656272058e+00,3.4368090682e+00,0.0000000000e+00,1.4615471792e+01,7.3992761371e+05,4.9260908023e+02,3945
gpu,rotor,hllc,255,2.9958907924e-02,6.7396853511e-05,1.4837487923e+01,9.6814670302e+00,9.3225527514e+00,1.4837487923e+01,3.0987444303e+01,4.7143193872e-02,8.2763981587e+00,2.4461000626e-06,3.7259373926e+00,3.5967671402e+00,0.0000000000e+00,1.4078679257e+01,7.8925784770e+05,4.4956127105e+02,3923
gpu,rotor,hllc,260,3.0274705477e-02,5.6561369351e-05,1.7679911421e+01,1.1511487489e+01,1.1049048114e+01,1.7679911421e+01,3.1600268219e+01,5.0057069421e-02,8.7409461024e+00,5.9709080819e-06,3.7377178298e+00,3.6718743483e+00,0.0000000000e+00,1.5882432518e+01,7.9807169992e+05,4.0184517345e+02,3893
gpu,rotor,hllc,265,3.0556628815e-02,5.1531142867e-05,1.9405740769e+01,1.3001055129e+01,1.2787160209e+01,1.9405740769e+01,3.2602731968e+01,3.6010094704e-02,9.0838815547e+00,5.9709080819e-06,3.6781656366e+00,3.7215985098e+00,0.0000000000e+00,1.8818030923e+01,7.9750994917e+05,3.9940528491e+02,4057
gpu,rotor,hllc,270,3.0801312440e-02,4.7604184083e-05,2.1006556866e+01,1.3330583637e+01,1.3325957919e+01,2.1006556866e+01,3.3404864367e+01,3.1191734939e-02,9.2811783033e+00,1.4295470727e-05,3.6606886864e+00,3.6689396208e+00,0.0000000000e+00,1.6943728547e+01,7.9308311580e+05,4.0004261868e+02,4315
gpu,rotor,hllc,275,3.1044448090e-02,4.9402113768e-05,2.0242048846e+01,1.2896527532e+01,1.2828414923e+01,2.0242048846e+01,3.4119500804e+01,2.9266508971e-02,9.3702005874e+00,8.6865543148e-06,3.6913200090e+00,3.6558116300e+00,0.0000000000e+00,1.9911032175e+01,8.0336987632e+05,3.6313836841e+02,4449
gpu,rotor,hllc,280,3.1277672401e-02,4.4022179696e-05,2.2715822045e+01,1.2953172404e+01,1.2828414923e+01,2.2715822045e+01,3.4684975835e+01,2.3403846547e-02,9.4777264555e+00,6.8378688208e-06,3.7141395150e+00,3.6972041505e+00,0.0000000000e+00,2.0858013980e+01,8.2575495036e+05,3.7469580570e+02,4459
gpu,rotor,hllc,285,3.1497232266e-02,4.5459796726e-05,2.1997458678e+01,1.3464823949e+01,1.2879462479e+01,2.1997458678e+01,3.5106493540e+01,2.1473822833e-02,9.4819682142e+00,6.8378688208e-06,3.7566510737e+00,3.6492429506e+00,0.0000000000e+00,1.9431573416e+01,8.3281238684e+05,3.7651842937e+02,4553
gpu,rotor,hllc,290,3.1729976955e-02,4.5468902070e-05,2.1993053592e+01,1.3663030826e+01,1.3199732221e+01,2.1993053592e+01,3.5437891614e+01,2.3414173609e-02,9.4855893280e+00,2.2490580509e-07,3.7595530608e+00,3.7292307685e+00,0.0000000000e+00,2.0447622260e+01,8.5703539725e+05,3.6468188435e+02,4650
gpu,rotor,hllc,295,3.1946276353e-02,3.9995330944e-05,2.5002918501e+01,1.4975751399e+01,1.4887851144e+01,2.5002918501e+01,3.5661326843e+01,2.6426028566e-02,9.4896222255e+00,5.1050158278e-06,3.7524648289e+00,3.7951657081e+00,0.0000000000e+00,2.4902637727e+01,8.7342335830e+05,3.7410960230e+02,4598
gpu,rotor,hllc,300,3.2146186612e-02,3.9477644129e-05,2.5330792201e+01,1.6041682371e+01,1.5981749057e+01,2.5330792201e+01,3.5801532994e+01,2.8299498395e-02,9.4466958914e+00,5.1050158278e-06,3.7715899693e+00,3.8279526196e+00,0.0000000000e+00,2.5256432415e+01,8.8209803630e+05,3.7716998314e+02,4785
gpu,rotor,hllc,305,3.2348231976e-02,4.1274703766e-05,2.4227914649e+01,1.6168463308e+01,1.6140815439e+01,2.4227914649e+01,3.6042389805e+01,3.0321186438e-02,9.3691783572e+00,2.7675260313e-06,3.7893805580e+00,3.8611192302e+00,0.0000000000e+00,2.1914915282e+01,8.9044976419e+05,3.6965252256e+02,4973
gpu,rotor,hllc,310,3.2557341251e-02,4.2664621737e-05,2.3438623368e+01,1.5879467928e+01,1.5864157122e+01,2.3438623368e+01,3.6377212273e+01,2.9494274448e-02,9.2763482814e+00,1.8580219027e-06,3.7818495207e+00,3.8898742472e+00,0.0000000000e+00,2.0920280488e+01,9.0788437104e+05,3.4693114253e+02,5033
gpu,rotor,hllc,315,3.2771078187e-02,4.2887144621e-05,2.3317010466e+01,1.5954648098e+01,1.5803669167e+01,2.3317010466e+01,3.6436566226e+01,2.4848586449e-02,9.1698593105e+00,1.8580219027e-06,3.7603754047e+00,3.8854535744e+00,0.0000000000e+00,2.2408300433e+01,9.2636593158e+05,3.3989585893e+02,5165
gpu,rotor,hllc,320,3.2980892272e-02,4.0697225389e-05,2.4571699678e+01,1.6754319854e+01,1.6539842184e+01,2.4571699678e+01,3.6242694449e+01,1.8163813052e-02,9.2220792471e+00,1.8580219027e-06,3.7483408463e+00,3.8464584741e+00,0.0000000000e+00,2.2849616851e+01,9.4262600841e+05,3.3931293709e+02,5151
gpu,rotor,hllc,325,3.3172406624e-02,3.4302205070e-05,2.9152644793e+01,2.1587435246e+01,2.1552182727e+01,2.9152644793e+01,3.5878219476e+01,8.9446756898e-03,9.6000843266e+00,5.1050158278e-06,3.7400363845e+00,3.9063482389e+00,0.0000000000e+00,2.3441474196e+01,9.5025789323e+05,3.6950863275e+02,5107
gpu,rotor,hllc,330,3.3332668334e-02,2.7896613657e-05,3.5846644768e+01,2.2490450748e+01,2.1774348736e+01,3.5846644768e+01,3.5465528353e+01,8.9446756898e-03,1.0027274287e+01,1.5621530952e-06,3.7399150885e+00,3.9198815007e+00,0.0000000000e+00,2.6102779408e+01,9.4747290169e+05,3.7683041170e+02,5080
gpu,rotor,hllc,335,3.3463249711e-02,2.4107052130e-05,4.1481637598e+01,2.4670363168e+01,2.3836148762e+01,4.1481637598e+01,3.5184508160e+01,8.4611307210e-03,1.0323344615e+01,3.1504985892e-06,3.7368752974e+00,3.9733153802e+00,0.0000000000e+00,2.8459923314e+01,9.3236221816e+05,3.8634691292e+02,5097
gpu,rotor,hllc,340,3.3576874160e-02,2.1884108150e-05,4.5695259462e+01,2.8920247790e+01,2.7748324136e+01,4.5695259462e+01,3.5040364351e+01,6.2799807770e-03,1.0509795205e+01,3.1504985892e-06,3.7418258551e+00,3.9414794308e+00,0.0000000000e+00,2.9406049919e+01,9.2445251330e+05,3.6636465540e+02,5192
gpu,rotor,hllc,345,3.3696621157e-02,2.3612862274e-05,4.2349800223e+01,3.1882101834e+01,3.1246243621e+01,4.2349800223e+01,3.4878427703e+01,5.2555653685e-03,1.0765399796e+01,1.6142592152e-08,3.7432054870e+00,3.8088140035e+00,0.0000000000e+00,2.5932352059e+01,9.2879570131e+05,3.6879783109e+02,5395
gpu,rotor,hllc,350,3.3815772886e-02,2.3124214600e-05,4.3244711975e+01,3.2307733957e+01,3.2293567009e+01,4.3244711975e+01,3.4700542271e+01,4.9149279051e-03,1.1018023359e+01,4.3179421331e-06,3.7034137955e+00,3.8085328785e+00,0.0000000000e+00,3.9432707730e+01,9.3396815355e+05,3.7014095968e+02,5459
gpu,rotor,hllc,355,3.3947175686e-02,2.8261878657e-05,3.5383351976e+01,2.8588107489e+01,2.7848037542e+01,3.5383351976e+01,3.4473752088e+01,6.3056848991e-03,1.1179685405e+01,4.3179421331e-06,3.6814845574e+00,3.8970981777e+00,0.0000000000e+00,3.7647648861e+01,9.4173849676e+05,3.7585259879e+02,5707
gpu,rotor,hllc,360,3.4083881372e-02,2.5559879328e-05,3.9123815382e+01,3.2056916950e+01,3.1392636970e+01,3.9123815382e+01,3.4235812809e+01,6.2482404893e-03,1.1518111794e+01,7.3759391877e-06,3.6195200597e+00,3.9330967075e+00,0.0000000000e+00,2.9836171782e+01,9.5830385040e+05,3.7808553488e+02,5584
gpu,rotor,hllc,365,3.4207575900e-02,2.3361405303e-05,4.2805644054e+01,3.5235959982e+01,3.4709243086e+01,4.2805644054e+01,3.4528758792e+01,6.2299554992e-03,1.1733961291e+01,1.6333690972e-06,3.6324620289e+00,3.9042350300e+00,0.0000000000e+00,3.3726813580e+01,9.5764143318e+05,3.7838174110e+02,5673
gpu,rotor,hllc,370,3.4321259266e-02,2.2056375669e-05,4.5338364517e+01,3.7484812225e+01,3.6883906038e+01,4.5338364517e+01,3.5000549579e+01,6.2129924096e-03,1.1965277074e+01,8.1845776450e-07,3.6701510597e+00,3.9893285938e+00,0.0000000000e+00,3.3859951627e+01,9.5574214507e+05,3.7020216035e+02,5888
