phase,tag,x_bx,x_by,x_lb,y_bx,y_by,y_lb,repeat,measured_steps,wall_ms,ms_per_step,x_ms_per_step,y_ms_per_step,state_hash,correctness,binary
x,x_x8x16_lb0_y16x8_lb0,8,16,0,16,8,0,5,500,1797.140197000,3.594280394,1.681428484,1.714454525,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31715299_orszag_tang_hlld_n8/bin/x_x8x16_lb0_y16x8_lb0/main_gpu
x,x_x8x16_lb2_y16x8_lb0,8,16,2,16,8,0,1,500,1802.118090000,3.604236180,1.692215296,1.713954815,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31715299_orszag_tang_hlld_n8/bin/x_x8x16_lb2_y16x8_lb0/main_gpu
x,x_x8x16_lb2_y16x8_lb0,8,16,2,16,8,0,2,500,1800.830859000,3.601661718,1.690150911,1.713221632,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31715299_orszag_tang_hlld_n8/bin/x_x8x16_lb2_y16x8_lb0/main_gpu
x,x_x8x16_lb2_y16x8_lb0,8,16,2,16,8,0,3,500,1800.889792000,3.601779584,1.690963965,1.713676288,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31715299_orszag_tang_hlld_n8/bin/x_x8x16_lb2_y16x8_lb0/main_gpu
x,x_x8x16_lb2_y16x8_lb0,8,16,2,16,8,0,4,500,1802.738946000,3.605477892,1.690753020,1.714270206,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31715299_orszag_tang_hlld_n8/bin/x_x8x16_lb2_y16x8_lb0/main_gpu
x,x_x8x16_lb2_y16x8_lb0,8,16,2,16,8,0,5,500,1800.506026000,3.601012052,1.689915389,1.713844224,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31715299_orszag_tang_hlld_n8/bin/x_x8x16_lb2_y16x8_lb0/main_gpu
x,x_x8x16_lb3_y16x8_lb0,8,16,3,16,8,0,1,500,1746.890059000,3.493780118,1.584293889,1.712941057,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31715299_orszag_tang_hlld_n8/bin/x_x8x16_lb3_y16x8_lb0/main_gpu
x,x_x8x16_lb3_y16x8_lb0,8,16,3,16,8,0,2,500,1748.769434000,3.497538868,1.585784832,1.714229248,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31715299_orszag_tang_hlld_n8/bin/x_x8x16_lb3_y16x8_lb0/main_gpu
x,x_x8x16_lb3_y16x8_lb0,8,16,3,16,8,0,3,500,1746.963096000,3.493926192,1.582753793,1.713313791,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31715299_orszag_tang_hlld_n8/bin/x_x8x16_lb3_y16x8_lb0/main_gpu
x,x_x8x16_lb3_y16x8_lb0,8,16,3,16,8,0,4,500,1747.026045000,3.494052090,1.583376383,1.713025023,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31715299_orszag_tang_hlld_n8/bin/x_x8x16_lb3_y16x8_lb0/main_gpu
