experiment,source_job_task,source_job_id,array_task_id,source_file,is_canonical,backend,case,solver,n,repeat,repeats_requested,build_variant,threads,ranks,nx,ny,total_cells,steps,app_elapsed_s,steps_per_s,Mcell_updates_s,wall_seconds,user_seconds,sys_seconds,cpu_percent,max_rss_kb,major_page_faults,minor_page_faults,voluntary_context_switches,involuntary_context_switches,start_utc,end_utc,exit_status,hostname,git_branch,git_commit
euler,32145291_1,32145291,1,32145291_1/cpu_openmp/cpu_openmp_hllc.csv,0,cpu_openmp,blast_wave,hllc,2,2,3,repository_default_openmp,76,0,1000,1000,1000000,4766,90.6275,52.59,52.6,90.800866304,6837.35,1.18,7535%,570488,62,4563,895,56033,2026-07-26T11:57:03.063726103+00:00,2026-07-26T11:58:33.877102251+00:00,0,cpu-q-548,3D_task,2430cd15090dffeafaf425880c476286841d434c
euler,32145291_1,32145291,1,32145291_1/cpu_openmp/cpu_openmp_hllc.csv,0,cpu_openmp,blast_wave,hllc,2,3,3,repository_default_openmp,76,0,1000,1000,1000000,4766,90.4412,52.70,52.7,90.622181632,6823.52,1.04,7535%,570284,51,4583,1188,56053,2026-07-26T11:58:34.046651426+00:00,2026-07-26T12:00:04.681104955+00:00,0,cpu-q-548,3D_task,2430cd15090dffeafaf425880c476286841d434c
euler,32178282_1,32178282,1,32178282_1/cpu_openmp/cpu_openmp_hllc.csv,1,cpu_openmp,blast_wave,hllc,2,1,3,repository_default_openmp,76,0,1000,1000,1000000,4766,86.6112,55.03,55.0,86.741239808,6531.61,1.20,7534%,570432,30,4627,906,55234,2026-07-26T20:58:52.285849854+00:00,2026-07-26T21:00:19.030201323+00:00,0,cpu-q-110,3D_task,2a509747a004965ee75f6c8457436b9cd4d57a06
euler,32178282_1,32178282,1,32178282_1/cpu_openmp/cpu_openmp_hllc.csv,1,cpu_openmp,blast_wave,hllc,2,2,3,repository_default_openmp,76,0,1000,1000,1000000,4766,86.1640,55.31,55.3,86.291383552,6498.50,1.28,7535%,570464,57,4586,1148,55298,2026-07-26T21:00:19.075517300+00:00,2026-07-26T21:01:45.370079563+00:00,0,cpu-q-110,3D_task,2a509747a004965ee75f6c8457436b9cd4d57a06
euler,32178282_1,32178282,1,32178282_1/cpu_openmp/cpu_openmp_hllc.csv,1,cpu_openmp,blast_wave,hllc,2,3,3,repository_default_openmp,76,0,1000,1000,1000000,4766,86.8590,54.87,54.9,87.026773760,6550.24,1.14,7534%,570308,28,4622,1019,53197,2026-07-26T21:01:45.417866737+00:00,2026-07-26T21:03:12.447821772+00:00,0,cpu-q-110,3D_task,2a509747a004965ee75f6c8457436b9cd4d57a06
euler,32145291_1,32145291,1,32145291_1/cpu_openmp/cpu_openmp_hllc.csv,0,cpu_openmp,blast_wave,hllc,4,1,1,repository_default_openmp,76,0,2000,2000,4000000,9751,851.6473,11.45,45.8,852.079297792,64295.12,6.87,7547%,2262752,62,5229,6668,491649,2026-07-26T12:15:51.105796955+00:00,2026-07-26T12:30:03.197658241+00:00,0,cpu-q-548,3D_task,2430cd15090dffeafaf425880c476286841d434c
euler,32178282_1,32178282,1,32178282_1/cpu_openmp/cpu_openmp_hllc.csv,1,cpu_openmp,blast_wave,hllc,4,1,1,repository_default_openmp,76,0,2000,2000,4000000,9751,821.5223,11.87,47.5,821.915976192,62040.46,7.84,7549%,2263500,49,5760,46069,476522,2026-07-26T21:18:30.783172351+00:00,2026-07-26T21:32:12.702182680+00:00,0,cpu-q-110,3D_task,2a509747a004965ee75f6c8457436b9cd4d57a06
euler,32165882_2,32165882,2,32165882_2/cpu_openmp/cpu_openmp_hlld.csv,0,cpu_openmp,blast_wave,hlld,1,1,3,repository_default_openmp,76,0,500,500,250000,2334,5.3381,437.23,109.3,5.421021696,403.44,0.12,7523%,146632,71,4673,184,3390,2026-07-26T16:03:59.223710543+00:00,2026-07-26T16:04:04.648129832+00:00,0,cpu-q-477,3D_task,2430cd15090dffeafaf425880c476286841d434c
euler,32165882_2,32165882,2,32165882_2/cpu_openmp/cpu_openmp_hlld.csv,0,cpu_openmp,blast_wave,hlld,1,2,3,repository_default_openmp,76,0,500,500,250000,2334,5.5260,422.37,105.6,5.573600000,417.73,0.05,7523%,146664,58,4528,176,3642,2026-07-26T16:04:04.692969332+00:00,2026-07-26T16:04:10.269945398+00:00,0,cpu-q-477,3D_task,2430cd15090dffeafaf425880c476286841d434c
euler,32165882_2,32165882,2,32165882_2/cpu_openmp/cpu_openmp_hlld.csv,0,cpu_openmp,blast_wave,hlld,1,3,3,repository_default_openmp,76,0,500,500,250000,2334,5.3771,434.06,108.5,5.410456832,406.08,0.20,7518%,146728,77,5078,411,3880,2026-07-26T16:04:10.318131015+00:00,2026-07-26T16:04:15.731951765+00:00,0,cpu-q-477,3D_task,2430cd15090dffeafaf425880c476286841d434c
